"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"1","City of Agoura Hills",110,527,506,2,10,10,20883
"2","City of Alhambra",892,1029,1013,16,18,12,86724
"3","City of Arcadia",309,535,522,15,26,17,57754
"4","City of Artesia",229,1364,1310,2,12,7,16795
"5","City of Avalon",5,129,151,0,0,0,3869
"6","City of Azusa",1027,2052,2047,13,26,32,50040
"7","City of Baldwin Park",1955,2547,2530,49,64,74,76769
"8","City of Bell",1103,3036,3075,30,83,112,36332
"9","City of Bell Gardens",1346,3125,3170,16,37,61,43071
"10","City of Bellflower",1656,2130,2120,44,57,64,77735
"11","City of Beverly Hills",534,1547,1536,9,26,13,34520
"12","City of Bradbury",12,1123,1355,0,0,0,1069
"13","City of Burbank",982,916,852,51,48,37,107180
"14","City of Calabasas",199,818,751,11,45,38,24323
"15","City of Carson",1234,1315,1274,39,42,33,93846
"16","City of Cerritos",406,811,851,9,18,14,50067
"17","City of Claremont",243,666,699,5,14,9,36484
"18","City of Commerce",396,3030,3009,4,31,28,13069
"19","City of Compton",2789,2792,2782,37,37,47,99904
"20","City of Covina",936,1909,1900,13,27,25,49032
"21","City of Cudahy",796,3269,3304,12,49,76,24347
"22","City of Culver City",318,798,759,29,73,49,39865
"23","City of Diamond Bar",374,650,630,5,9,7,57515
"24","City of Downey",2955,2586,2527,67,59,57,114263
"25","City of Duarte",360,1635,1491,24,109,68,22016
"26","City of El Monte",3059,2609,2587,89,76,77,117269
"27","City of El Segundo",97,578,551,0,0,0,16786
"28","City of Gardena",842,1373,1361,34,55,38,61310
"29","City of Glendale",2322,1124,1021,134,65,44,206493
"30","City of Glendora",899,1704,1601,36,68,53,52764
"31","City of Hawaiian Gardens",364,2480,2429,1,7,8,14676
"32","City of Hawthorne",1354,1525,1503,29,33,37,88787
"33","City of Hermosa Beach",146,742,715,2,10,13,19670
"34","City of Hidden Hills",5,265,133,0,0,0,1890
"35","City of Huntington Park",2034,3419,3394,33,55,72,59484
"36","City of Industry",24,5492,5575,2,458,556,437
"37","City of Inglewood",1947,1714,1692,76,67,73,113582
"38","City of Irwindale",51,3496,3517,0,0,0,1459
"39","City of La Canada Flintridge",123,594,673,6,29,17,20693
"40","City of La Habra Heights",27,495,442,0,0,0,5455
"41","City of La Mirada",607,1224,1155,22,44,30,49599
"42","City of La Puente",1037,2548,2494,8,20,20,40697
"43","City of La Verne",303,910,935,6,18,9,33282
"44","City of Lakewood",885,1101,1102,7,9,7,80362
"45","City of Lancaster",2020,1250,1262,27,17,20,161570
"46","City of Lawndale",449,1336,1287,9,27,34,33614
"47","City of Lomita",164,791,758,7,34,24,20729
"48","City of Lynwood",2392,3320,3428,77,107,171,72047
"49","City of Malibu",73,563,531,2,15,8,12961
"50","City of Manhattan Beach",260,722,711,4,11,10,35999
"51","City of Maywood",990,3530,3690,25,89,140,28049
"52","City of Monrovia",519,1338,1332,34,88,84,38800
"53","City of Montebello",1606,2495,2460,34,53,43,64375
"54","City of Monterey Park",625,1004,1000,16,26,14,62262
"55","City of Norwalk",2316,2152,2097,45,42,42,107622
"56","City of Palmdale",2450,1541,1552,31,20,23,158968
"57","City of Palos Verdes Estates",72,532,513,2,15,7,13522
"58","City of Paramount",1697,3029,2996,20,36,45,56023
"59","City of Pico Rivera",1703,2649,2589,52,81,71,64284
"60","City of Pomona",3512,2252,2219,56,36,44,155931
"61","City of Rancho Palos Verdes",218,510,539,12,28,13,42747
"62","City of Redondo Beach",387,563,579,9,13,14,68697
"63","City of Rolling Hills",5,258,480,0,0,0,1940
"64","City of Rolling Hills Estates",31,382,537,2,25,13,8113
"65","City of Rosemead",576,1041,1024,15,27,21,55350
"66","City of San Dimas",350,1014,1047,4,12,9,34516
"67","City of San Fernando",600,2438,2431,14,57,67,24612
"68","City of San Gabriel",408,996,920,32,78,55,40954
"69","City of San Marino",54,407,375,1,8,4,13277
"70","City of Santa Clarita",2122,963,969,34,15,17,220424
"71","City of Santa Fe Springs",350,1906,1890,3,16,13,18364
"72","City of Santa Monica",625,676,624,37,40,28,92446
"73","City of Sierra Madre",51,464,421,3,27,17,10989
"74","City of Signal Hill",180,1526,1569,0,0,0,11797
"75","City of South El Monte",551,2638,2618,12,57,63,20885
"76","City of South Gate",3235,3296,3240,48,49,64,98155
"77","City of South Pasadena",217,833,773,25,96,76,26053
"78","City of Temple City",394,1081,956,38,104,66,36455
"79","City of Torrance",1012,678,648,57,38,27,149268
"80","City of Vernon",9,4306,4544,0,0,0,209
"81","City of Walnut",197,645,658,1,3,1,30532
"82","City of West Covina",2079,1921,1885,31,29,25,108235
"83","City of West Hollywood",424,1147,1024,5,14,9,36951
"84","City of Westlake Village",22,263,299,0,0,0,8360
"85","City of Whittier",1531,1751,1721,16,18,18,87432
"86","Los Angeles - Adams-Normandie",164,2000,1981,3,37,38,8202
"87","Los Angeles - Alsace",263,2113,2032,1,8,16,12445
"88","Los Angeles - Angeles National Forest",2,5000,1576,0,0,0,40
"89","Los Angeles - Angelino Heights",47,1878,1783,1,40,38,2502
"90","Los Angeles - Arleta",953,2773,2692,16,47,56,34370
"91","Los Angeles - Atwater Village",161,1098,1076,4,27,23,14666
"92","Los Angeles - Baldwin Hills",428,1375,1347,23,74,58,31125
"93","Los Angeles - Bel Air",57,676,694,0,0,0,8429
"94","Los Angeles - Beverly Crest",81,647,764,2,16,9,12525
"95","Los Angeles - Beverlywood",111,843,878,0,0,0,13173
"96","Los Angeles - Boyle Heights",3160,3637,3622,46,53,60,86884
"97","Los Angeles - Brentwood",210,678,631,3,10,7,30955
"98","Los Angeles - Brookside",1,172,118,0,0,0,581
"99","Los Angeles - Cadillac-Corning",93,1306,1271,1,14,27,7121
"100","Los Angeles - Canoga Park",1283,1965,1950,48,74,94,65289
"101","Los Angeles - Carthay",169,1177,1415,11,77,31,14363
"102","Los Angeles - Central",1575,4039,4107,32,82,115,38992
"103","Los Angeles - Century City",92,719,834,0,0,0,12792
"104","Los Angeles - Century Palms/Cove",1095,3243,3333,13,38,55,33766
"105","Los Angeles - Chatsworth",484,1306,1299,33,89,56,37061
"106","Los Angeles - Cheviot Hills",46,502,582,2,22,10,9171
"107","Los Angeles - Chinatown",82,1022,996,2,25,14,8021
"108","Los Angeles - Cloverdale/Cochran",227,1560,1498,5,34,37,14553
"109","Los Angeles - Country Club Park",221,1458,1302,22,145,108,15153
"110","Los Angeles - Crenshaw District",222,1605,1607,2,14,9,13829
"111","Los Angeles - Crestview",146,1284,1242,19,167,151,11368
