Unnamed: 0,geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
1,Agoura Hills,110,527,506,2,10,10,20883
2,Alhambra,892,1029,1013,16,18,12,86724
3,Arcadia,309,535,522,15,26,17,57754
4,Artesia,229,1364,1310,2,12,7,16795
5,Avalon,5,129,151,0,0,0,3869
6,Azusa,1027,2052,2047,13,26,32,50040
7,Baldwin Park,1955,2547,2530,49,64,74,76769
8,Bell,1103,3036,3075,30,83,112,36332
9,Bell Gardens,1346,3125,3170,16,37,61,43071
10,Bellflower,1656,2130,2120,44,57,64,77735
11,Beverly Hills,534,1547,1536,9,26,13,34520
12,Bradbury,12,1123,1355,0,0,0,1069
13,Burbank,982,916,852,51,48,37,107180
14,Calabasas,199,818,751,11,45,38,24323
15,Carson,1234,1315,1274,39,42,33,93846
16,Cerritos,406,811,851,9,18,14,50067
17,Claremont,243,666,699,5,14,9,36484
18,Commerce,396,3030,3009,4,31,28,13069
19,Compton,2789,2792,2782,37,37,47,99904
20,Covina,936,1909,1900,13,27,25,49032
21,Cudahy,796,3269,3304,12,49,76,24347
22,Culver City,318,798,759,29,73,49,39865
23,Diamond Bar,374,650,630,5,9,7,57515
24,Downey,2955,2586,2527,67,59,57,114263
25,Duarte,360,1635,1491,24,109,68,22016
26,El Monte,3059,2609,2587,89,76,77,117269
27,El Segundo,97,578,551,0,0,0,16786
28,Gardena,842,1373,1361,34,55,38,61310
29,Glendale,2322,1124,1021,134,65,44,206493
30,Glendora,899,1704,1601,36,68,53,52764
31,Hawaiian Gardens,364,2480,2429,1,7,8,14676
32,Hawthorne,1354,1525,1503,29,33,37,88787
33,Hermosa Beach,146,742,715,2,10,13,19670
34,Hidden Hills,5,265,133,0,0,0,1890
35,Huntington Park,2034,3419,3394,33,55,72,59484
36,Industry,24,5492,5575,2,458,556,437
37,Inglewood,1947,1714,1692,76,67,73,113582
38,Irwindale,51,3496,3517,0,0,0,1459
39,La Canada Flintridge,123,594,673,6,29,17,20693
40,La Habra Heights,27,495,442,0,0,0,5455
41,La Mirada,607,1224,1155,22,44,30,49599
42,La Puente,1037,2548,2494,8,20,20,40697
43,La Verne,303,910,935,6,18,9,33282
44,Lakewood,885,1101,1102,7,9,7,80362
45,Lancaster,2020,1250,1262,27,17,20,161570
46,Lawndale,449,1336,1287,9,27,34,33614
47,Lomita,164,791,758,7,34,24,20729
48,Lynwood,2392,3320,3428,77,107,171,72047
49,Malibu,73,563,531,2,15,8,12961
50,Manhattan Beach,260,722,711,4,11,10,35999
51,Maywood,990,3530,3690,25,89,140,28049
52,Monrovia,519,1338,1332,34,88,84,38800
53,Montebello,1606,2495,2460,34,53,43,64375
54,Monterey Park,625,1004,1000,16,26,14,62262
55,Norwalk,2316,2152,2097,45,42,42,107622
56,Palmdale,2450,1541,1552,31,20,23,158968
57,Palos Verdes Estates,72,532,513,2,15,7,13522
58,Paramount,1697,3029,2996,20,36,45,56023
59,Pico Rivera,1703,2649,2589,52,81,71,64284
60,Pomona,3512,2252,2219,56,36,44,155931
61,Rancho Palos Verdes,218,510,539,12,28,13,42747
62,Redondo Beach,387,563,579,9,13,14,68697
63,Rolling Hills,5,258,480,0,0,0,1940
64,Rolling Hills Estates,31,382,537,2,25,13,8113
65,Rosemead,576,1041,1024,15,27,21,55350
66,San Dimas,350,1014,1047,4,12,9,34516
67,San Fernando,600,2438,2431,14,57,67,24612
68,San Gabriel,408,996,920,32,78,55,40954
69,San Marino,54,407,375,1,8,4,13277
70,Santa Clarita,2122,963,969,34,15,17,220424
71,Santa Fe Springs,350,1906,1890,3,16,13,18364
72,Santa Monica,625,676,624,37,40,28,92446
73,Sierra Madre,51,464,421,3,27,17,10989
74,Signal Hill,180,1526,1569,0,0,0,11797
75,South El Monte,551,2638,2618,12,57,63,20885
76,South Gate,3235,3296,3240,48,49,64,98155
77,South Pasadena,217,833,773,25,96,76,26053
78,Temple City,394,1081,956,38,104,66,36455
79,Torrance,1012,678,648,57,38,27,149268
80,Vernon,9,4306,4544,0,0,0,209
81,Walnut,197,645,658,1,3,1,30532
82,West Covina,2079,1921,1885,31,29,25,108235
83,West Hollywood,424,1147,1024,5,14,9,36951
84,Westlake Village,22,263,299,0,0,0,8360
85,Whittier,1531,1751,1721,16,18,18,87432
86,Adams-Normandie,164,2000,1981,3,37,38,8202
87,Alsace,263,2113,2032,1,8,16,12445
88,Angeles National Forest,2,5000,1576,0,0,0,40
89,Angelino Heights,47,1878,1783,1,40,38,2502
90,Arleta,953,2773,2692,16,47,56,34370
91,Atwater Village,161,1098,1076,4,27,23,14666
92,Baldwin Hills,428,1375,1347,23,74,58,31125
93,Bel Air,57,676,694,0,0,0,8429
94,Beverly Crest,81,647,764,2,16,9,12525
95,Beverlywood,111,843,878,0,0,0,13173
96,Boyle Heights,3160,3637,3622,46,53,60,86884
97,Brentwood,210,678,631,3,10,7,30955
98,Brookside,1,172,118,0,0,0,581
99,Cadillac-Corning,93,1306,1271,1,14,27,7121
100,Canoga Park,1283,1965,1950,48,74,94,65289
101,Carthay,169,1177,1415,11,77,31,14363
102,Central,1575,4039,4107,32,82,115,38992
103,Century City,92,719,834,0,0,0,12792
104,Century Palms/Cove,1095,3243,3333,13,38,55,33766
105,Chatsworth,484,1306,1299,33,89,56,37061
106,Cheviot Hills,46,502,582,2,22,10,9171
107,Chinatown,82,1022,996,2,25,14,8021
108,Cloverdale/Cochran,227,1560,1498,5,34,37,14553
109,Country Club Park,221,1458,1302,22,145,108,15153
110,Crenshaw District,222,1605,1607,2,14,9,13829
111,Crestview,146,1284,1242,19,167,151,11368
112,Del Rey,248,828,823,7,23,18,29936
113,Downtown,540,1963,1956,12,44,31,27507
114,Eagle Rock,468,1182,1140,18,45,32,39589
115,East Hollywood,482,1646,1529,42,143,124,29287
116,Echo Park,158,1108,1092,3,21,22,14256
117,El Sereno,830,1985,1942,27,65,61,41808
118,Elysian Park,71,1243,1169,0,0,0,5712
119,Elysian Valley,173,1701,1630,1,10,9,10171
120,Encino,383,848,880,14,31,15,45172
121,Exposition,56,1684,1589,1,30,29,3326
122,Exposition Park,925,2059,2111,19,42,56,44917
123,Faircrest Heights,26,722,651,2,56,46,3600
124,Figueroa Park Square,226,2591,2587,0,0,0,8721
125,Florence-Firestone,1685,3551,3606,21,44,63,47445
126,Glassell Park,487,1541,1490,9,28,24,31604
127,Gramercy Place,176,1635,1687,4,37,24,10764
128,Granada Hills,821,1411,1297,56,96,70,58191
129,Green Meadows,676,3143,3176,8,37,48,21505
130,Hancock Park,170,998,1004,3,18,17,17039
131,Harbor City,350,1204,1192,9,31,25,29070
132,Harbor Gateway,635,1456,1421,9,21,22,43600
133,Harbor Pines,14,581,654,0,0,0,2409
134,Harvard Heights,406,2251,2208,21,116,139,18035
135,Harvard Park,1130,2979,2949,16,42,45,37935
136,Highland Park,784,1620,1584,15,31,33,48391
137,Historic Filipinotown,314,2264,2106,11,79,73,13870
138,Hollywood,850,1245,1118,8,12,12,68254
139,Hollywood Hills,219,744,817,6,20,19,29434
140,Hyde Park,562,1969,1929,12,42,36,28541
141,Jefferson Park,191,2366,2331,0,0,0,8073
142,Koreatown,830,1606,1548,22,43,41,51693
143,Lafayette Square,61,1338,1304,2,44,44,4559
144,Lake Balboa,666,1578,1564,12,28,31,42206
145,Lakeview Terrace,402,3061,3041,19,145,163,13133
146,Leimert Park,225,1477,1476,4,26,17,15235
147,Lincoln Heights,809,2482,2424,41,126,107,32597
148,Little Armenia,311,3875,3286,45,561,451,8025
149,Little Bangladesh,359,1267,1263,5,18,19,28343
150,Little Tokyo,52,1660,1608,2,64,21,3133
151,Longwood,90,2091,2032,0,0,0,4304
152,Los Feliz,142,657,684,2,9,6,21608
153,Manchester Square,118,1382,1376,1,12,9,8536
154,Mandeville Canyon,18,576,866,0,0,0,3124
155,Mar Vista,234,551,560,5,12,9,42471
156,Marina Peninsula,27,619,578,0,0,0,4360
157,Melrose,1411,1816,1782,50,64,67,77696
158,Mid-city,230,1530,1458,20,133,120,15030
159,Miracle Mile,121,673,624,5,28,25,17985
160,Mission Hills,507,2102,2025,17,70,67,24124
161,Mt. Washington,374,1549,1502,11,46,42,24145
162,North Hills,1228,1994,1963,34,55,65,61575
163,North Hollywood,2307,1524,1449,42,28,31,151421
164,Northridge,982,1407,1371,39,56,45,69797
165,Pacific Palisades,97,456,541,3,14,6,21291
166,Pacoima,2244,2915,2928,32,42,54,76979
167,Palisades Highlands,18,468,530,0,0,0,3846
168,Palms,417,950,1038,28,64,84,43877
169,Panorama City,1878,2496,2537,76,101,135,75250
170,Park La Brea,83,611,512,1,7,8,13580
171,Pico-Union,1389,3320,3350,78,186,221,41842
172,Playa Del Rey,19,594,713,0,0,0,3196
173,Playa Vista,99,904,827,0,0,0,10947
174,Porter Ranch,234,658,697,6,17,10,35588
175,Rancho Park,60,915,1066,1,15,11,6560
176,Regent Square,21,755,731,0,0,0,2780
177,Reseda,1555,2030,1966,62,81,74,76617
178,Reseda Ranch,78,1682,1551,0,0,0,4636
179,Reynier Village,27,639,694,0,0,0,4228
180,San Pedro,1531,1962,1952,23,29,27,78038
181,Shadow Hills,36,810,969,0,0,0,4442
182,Sherman Oaks,709,813,869,14,16,14,87254
183,Silverlake,460,1043,1050,16,36,32,44083
184,South Carthay,80,755,913,1,9,6,10595
185,South Park,1477,3891,3964,21,55,76,37961
186,St Elmo Village,104,2269,2422,8,175,264,4584
187,Studio City,186,829,921,9,40,35,22440
188,Sun Valley,971,1850,1782,15,29,30,52483
189,Sunland,330,1617,1509,25,122,87,20408
190,Sycamore Square,4,618,445,0,0,0,647
191,Sylmar,2210,2682,2665,59,72,88,82398
192,Tarzana,488,1581,1445,36,117,73,30876
193,Temple-Beaudry,907,2297,2205,21,53,61,39482
194,Thai Town,105,1070,1008,0,0,0,9809
195,Toluca Lake,76,873,1041,0,0,0,8704
196,Toluca Terrace,17,1302,1390,1,77,72,1306
197,Toluca Woods,14,754,771,0,0,0,1858
198,Tujunga,272,978,940,11,40,33,27810
199,University Hills,44,1283,1307,1,29,19,3429
200,University Park,560,2040,2920,15,55,98,27456
201,Valley Glen,384,1279,1230,14,47,46,30016
202,Valley Village,395,1598,1536,23,93,76,24720
203,Van Nuys,1906,2045,2043,59,63,78,93194
204,Venice,199,587,750,2,6,6,33885
205,Vermont Knolls,528,3070,3049,11,64,80,17200
206,Vermont Square,249,3252,3217,2,26,24,7657
207,Vermont Vista,1354,3288,3380,18,44,68,41186
208,Vernon Central,2164,4162,4256,30,58,84,51998
209,Victoria Park,143,1703,1638,2,24,20,8399
210,View Heights,29,785,777,2,54,42,3694
211,Watts,1319,3091,3269,17,40,71,42674
212,Wellington Square,88,1790,1772,0,0,0,4915
213,West Adams,651,2356,2305,31,112,118,27630
214,West Hills,373,920,898,30,74,45,40545
215,West Los Angeles,367,975,977,11,29,34,37636
216,West Vernon,1614,3009,2992,35,65,84,53644
217,Westchester,287,556,535,13,25,22,51603
218,Westlake,1897,3196,3241,116,195,225,59355
219,Westwood,241,445,396,5,9,9,54109
220,Wholesale District,1896,5248,4510,21,58,69,36129
221,Wilmington,1151,2038,2033,9,16,20,56487
222,Wilshire Center,814,1622,1574,27,54,53,50170
223,Winnetka,858,1657,1590,12,23,23,51786
224,Woodland Hills,629,924,918,22,32,20,68055
225,Acton,42,527,606,2,25,18,7971
226,Agua Dulce,19,457,511,0,0,0,4158
227,Altadena,440,1009,1047,11,25,20,43620
228,Anaverde,8,530,654,0,0,0,1508
229,Angeles National Forest,4,321,310,0,0,0,1245
230,Arcadia,70,877,902,1,13,11,7981
231,Athens Village,155,3165,3203,6,123,122,4897
232,Athens-Westmont,1083,2552,2560,17,40,44,42442
233,Avocado Heights,189,2790,2756,1,15,14,6775
234,Azusa,350,2198,2120,2,13,17,15923
235,Bassett,475,3206,3156,7,47,47,14817
236,Bouquet Canyon,1,93,82,1,93,82,1073
237,Bradbury,4,3704,303,1,926,255,108
238,Canyon Country,79,1022,1074,0,0,0,7728
239,Castaic,1857,6829,6227,4,15,14,27191
240,Cerritos,11,1874,1797,0,0,0,587
241,Claremont,3,427,362,0,0,0,702
242,Covina,304,1807,1768,4,24,23,16819
243,Covina (Charter Oak),226,1719,1722,0,0,0,13144
244,Del Aire,49,1115,1089,1,23,25,4393
245,Del Rey,1,314,425,0,0,0,318
246,Del Sur,7,290,263,1,41,20,2415
247,Desert View Highlands,24,963,882,1,40,24,2493
248,Duarte,84,1897,1873,2,45,52,4428
249,East Covina,4,1216,1379,0,0,0,329
250,East La Mirada,74,1398,1386,0,0,0,5292
251,East Los Angeles,4450,3552,3556,69,55,64,125269
252,East Pasadena,47,734,664,1,16,9,6403
253,East Rancho Dominguez,466,3044,3013,7,46,55,15308
254,East Whittier,53,999,988,0,0,0,5306
255,El Camino Village,106,1206,1202,3,34,24,8791
256,El Monte,6,4138,6162,0,0,0,145
257,Elizabeth Lake,5,301,302,0,0,0,1661
258,Florence-Firestone,2446,3780,3818,31,48,63,64705
259,Glendora,5,758,1124,0,0,0,660
260,Hacienda Heights,715,1278,1254,5,9,7,55926
261,Hawthorne,44,1750,1655,0,0,0,2514
262,Hi Vista,2,182,292,0,0,0,1098
263,Kagel/Lopez Canyons,19,1346,1635,1,71,113,1412
264,La Crescenta-Montrose,115,581,598,1,5,3,19801
265,La Rambla,70,3373,2684,10,482,307,2075
266,La Verne,20,980,1194,0,0,0,2040
267,Ladera Heights,60,849,801,3,42,19,7071
268,Lake Hughes,1,150,192,0,0,0,668
269,Lake Los Angeles,132,1016,1004,2,15,25,12994
270,Lake Manor,14,852,900,0,0,0,1643
271,Lennox,465,2063,2050,3,13,24,22542
272,Leona Valley,15,857,944,0,0,0,1751
273,Littlerock,49,1219,1206,0,0,0,4021
274,Littlerock/Juniper Hills,6,463,666,0,0,0,1297
275,Littlerock/Pearblossom,54,1513,1535,0,0,0,3569
276,Llano,2,228,158,0,0,0,877
