safegraph_place_id,latitude,longitude,city,postal_code,community
sg:026dc0f4e4a948fd98e905baa687c82b,33.833054,-118.35368799999999,Torrance,90503,Torrance
sg:03d14e5e90f447998afb1b8f27db9ba2,34.038608,-118.251283,Los Angeles,90015,South Park
sg:056f4ad3213b4cbaadd3c85481966466,33.790104,-118.177383,Long Beach,90806,missing
sg:05a81a17c5624213ab5c0fe3a86799c1,34.237689,-118.55615300000001,Northridge,91324,Northridge
sg:0790c0739bd24738b45452127b73f317,33.958626,-118.184623,Cudahy,90201,Cudahy
sg:09eb0b9d42784b148b48956de7fdbd0b,33.864753,-118.38795400000001,Hermosa Beach,90254,Hermosa Beach
sg:0b7913671dcf42b58022cdf7c01b204b,34.017126,-118.4978,Santa Monica,90401,Santa Monica
sg:0bc238907fb349feb30f856b033d6b68,33.916725,-118.01251,La Mirada,90638,La Mirada
sg:1157b197264b43c993a01bcea407828e,34.403087,-118.40971200000001,Canyon Country,91387,Santa Clarita
sg:158d9042ff8a4b0faed033d93454020e,33.878555,-118.013369,La Mirada,90638,La Mirada
sg:17f08d6757dc46088f65ecefada0fa88,33.85483,-118.39776,Hermosa Beach,90254,Hermosa Beach
sg:18fc1f4e5fb74187897edca356afed58,34.379866,-118.529016,Santa Clarita,91321,Santa Clarita
sg:1d73bbe569b84c319d71f564b3205e18,34.208078,-118.484523,Van Nuys,91406,Lake Balboa
sg:20d27a56ddc24c5fa2e292217ae49abc,34.148053000000004,-118.43231100000001,Sherman Oaks,91423,Sherman Oaks
sg:22844e25107643339ff526a63e199ef9,34.003902000000004,-118.307355,Los Angeles,90062,missing
sg:237718f9c7de45a59d4bdc4da9e35887,34.057221999999996,-118.415609,Los Angeles,90067,Century City
sg:238acc8a912e4211a7221af79f5fbe5e,33.794740999999995,-118.288315,Los Angeles,90710,Harbor City
sg:26498134a17e4a04b3e5e221542e12d2,34.106013,-117.81759199999999,San Dimas,91773,San Dimas
sg:26cbf339b5a240e9812273b50084aa91,34.192028,-118.535578,Reseda,91335,Reseda
sg:286e804a247a49a7b9f9315b8df8e8e6,34.018656,-118.19203799999998,Los Angeles,90023,Commerce
sg:2899c88323334faa8d8db8a2226c0d9e,33.809443,-118.146281,Long Beach,90806,missing
sg:2e216bd9fdb44abe9c1570b22fd58a5c,34.151677,-118.024671,Arcadia,91006,Arcadia
sg:386bb24c534f4e9c9517f8508ebc2f68,34.094542,-118.36644,West Hollywood,90046,West Hollywood
sg:3a62aa7723454646998d513cda660721,33.83064,-118.289869,Torrance,90502,Harbor Gateway
sg:3e078629e9d5414a90c7b25eda4fda28,34.052037,-118.472117,Los Angeles,90049,Brentwood
sg:419955194afc4b15b028af1472f4c694,34.698093,-118.141231,Lancaster,93534,Lancaster
sg:434c3b2bb760431e8ac8dc4fe3fa22a2,34.039708000000005,-118.30071299999999,Los Angeles,90018,Jefferson Park
sg:446a3456dd6747258b60380f515a8452,34.057177,-118.364474,Los Angeles,90019,Mid-City
sg:4bfa29e9605240b089d6f01cafa33de0,34.039065,-118.466222,Los Angeles,90025,San Pedro
sg:4d0dd8a857644eaf824ef1abeb207be8,33.88645,-118.378855,Manhattan Beach,90266,Manhattan Beach
sg:4d5c30d8eaef4ba6b18ffdcd79157291,33.966491999999995,-118.35096899999999,Inglewood,90301,Inglewood
sg:57d6bae380404c9086cf34095e7e19f9,34.148532,-118.10042299999999,Pasadena,91107,Pasadena
sg:5899c9a5ed46409e965511e4e298c182,34.107572999999995,-118.21343700000001,Los Angeles,90065,Glassell Park
sg:5b096352760e4899a3e2b0939c5e5a8f,33.991474,-118.30914399999999,Los Angeles,90062,missing
sg:5d5881ca1795482cb41dfc05b2718cb3,34.197373,-118.38603799999999,North Hollywood,91605,Hollywood
sg:5d630d4d6f434154be4885c91617990c,33.973382,-118.219302,Los Angeles,90001,Florence-Firestone
sg:5e631b4a253a4cfda31e461e50debf8e,33.903433,-118.15105700000001,Paramount,90723,Paramount
sg:5f10d0f35a6b41208a474f6c04a58e65,34.062544,-117.73081200000001,Pomona,91767,Pomona
sg:62acd0ffc0464dce81a83827d64069b4,34.009534,-118.104577,Montebello,90640,Montebello
sg:63251ebd57b540b29a1feff53d44a823,34.290437,-118.424332,Los Angeles,91342,Sylmar
sg:63b69b80cdde43b8a72cc1c92f55aa7a,34.009258,-118.208629,Vernon,90058,Vernon
sg:66045322136446b6a209ebb78aa6b04d,34.430551,-118.55173899999998,Valencia,91355,Valencia
sg:6681a0bd60944bab8918d83f596bacc4,34.04795,-118.461995,Los Angeles,90025,San Pedro
sg:6845053d83094fbb97f72aaf9c717829,34.064685,-118.444543,Los Angeles,90025,San Pedro
sg:688e7ecdb69d433fba274795ed697212,34.057512,-118.292546,Los Angeles,90005,Koreatown
sg:7025afc4b8a8496c9581c1419c141e7b,34.146273,-118.256754,Glendale,91210,Glendale
sg:7088b2c62d6a41e6b464fc2aa9893bf7,34.027658,-117.963348,City of Industry,91744,La Puente
sg:7099bafb2d064e3b87b42d4691b34686,34.101013,-118.33233999999999,Los Angeles,90028,Hollywood
sg:736d114309144697af0887faee8648c1,34.158404,-118.449169,Sherman Oaks,91403,Sherman Oaks
sg:74afe77d9bed4be5a49dd600b8634fae,34.168921000000005,-118.287233,Glendale,91201,Glendale
sg:75981312e0cb49218fd468cbc156700e,33.98052,-118.226317,Huntington Park,90255,Huntington Park
sg:772ebbddcb3247108206189ac4c1ba0d,34.144331,-118.25829399999999,Glendale,91210,Glendale
sg:77a1ab5f3b494b1caf684e63612a6cf2,34.231728000000004,-118.557592,Northridge,91324,Northridge
sg:7824aeefe69d43acb862762ee57677d9,34.081138,-118.071304,Rosemead,91770,Rosemead
sg:7df2b50beda448f79126f2fa29844e3a,34.579875,-118.10516499999999,Palmdale,93550,Palmdale
sg:809ccbf0a6154427a05117d2bca22ea1,34.0242,-118.39449499999999,Culver City,90232,Culver City
sg:8197233f30014ffda2e01fbff75ffef2,34.173571,-118.11809199999999,Pasadena,91104,Pasadena
sg:853e19789e7e4a0fab49222ec0a7b009,34.040009999999995,-118.429084,Los Angeles,90064,Rancho Park
sg:879ee08f3bd8458382e08c3a94274759,34.282737,-118.43966699999999,San Fernando,91340,San Fernando
sg:87f3b0ad95044374819d355b6b8a3761,34.130545,-117.83932,Glendora,91741,Glendora
sg:895c58ec4a5a444abdf1b2e811863da5,34.159822,-118.264452,Glendale,91202,Glendale
sg:8a27dc16e67547c694cf9c680091d108,34.139418,-118.006553,Monrovia,91016,Monrovia
sg:8a84b71910494cb2b0b16f805ba93116,34.045694,-117.94931299999999,La Puente,91744,La Puente
sg:8ccd8bc5c4564c4899ce43072a76e265,34.136184,-117.869527,Glendora,91741,Glendora
sg:8dd121aace1941769e62040a2d4072bb,33.967938000000004,-118.14369099999999,Bell Gardens,90201,Cudahy
sg:8f88dc58adc04d05a808e709fdda8340,34.074117,-117.935979,West Covina,91790,Covina
sg:92e1c69cb03446ada8ab435b3ea4471a,34.011021,-118.30551799999999,Los Angeles,90062,missing
sg:959d4449fbd64fb69a21d13492e18b2e,34.260681,-118.429875,Pacoima,91331,Pacoima
sg:988ac131432c4fccafa5ef6b327673a5,34.158547,-118.63450700000001,Woodland Hills,91364,Woodland Hills
sg:9a0b596816f54815a838819c80c7ac53,34.201867,-118.454929,Van Nuys,91405,Van Nuys
sg:9b378f4a096b46dbb53b99ffe578617e,34.160194,-118.299278,Glendale,91201,Glendale
sg:a0db592d26214fa9b391fd249f4cf214,33.966824,-118.04928999999998,Whittier,90606,Whittier
sg:a38dd98783fd40deb8acf1c214890e2f,33.95348,-118.14541499999999,Downey,90241,Downey
sg:a4959380aa26404090358b78bf98a107,34.162552000000005,-118.25471999999999,Glendale,91202,Glendale
sg:a4df892263674120aac642d462367cb3,34.418009999999995,-118.56383500000001,Santa Clarita,91355,Valencia
sg:a539806932db4cde852d098985bcb2be,34.17293,-118.33236399999998,Burbank,91506,Burbank
sg:a5d1cfc50360443ebe8bf2fdc9f5355a,34.138290999999995,-118.21399299999999,Los Angeles,90041,Eagle Rock
sg:a5d7346c75354a43b65d8da32b64a6b6,34.052853999999996,-118.298053,Los Angeles,90006,Koreatown
sg:a60f4eaf9b9f451489ef5a79af1d6651,34.636203,-118.21051999999999,Lancaster,93536,Del Sur
sg:a90c3cb58e3a476d8d6a22771ecf23f9,34.090918,-118.36704499999999,West Hollywood,90046,West Hollywood
sg:af335cb5a26142a4a71ef9b09fa96e7b,33.939782,-117.982945,Whittier,90603,Whittier
sg:b1ce5c6a9a674b1ca794e3413a89edd3,33.83047,-118.08444899999999,Long Beach,90808,missing
sg:b3a761b18e4344c88e0bddf83c45a794,34.151098,-118.44601499999999,Sherman Oaks,91423,Sherman Oaks
sg:b5de2c0c66bf443996122f0538ea77c8,34.047503999999996,-118.31714,Los Angeles,90019,Mid-City
sg:c1c43bd45250451b9bc09502e7ac5d25,34.171305,-118.131754,Pasadena,91104,Pasadena
sg:c2d3c18ea1ac4bb3a14ce7c8beb75630,34.657156,-118.147181,Lancaster,93534,Lancaster
sg:c328b2448b2b42fcb57202f540e72fd9,34.09721,-118.34433999999999,Los Angeles,90028,Hollywood
sg:c81992c99c7749d09d3c243b51a5018d,34.056876,-118.27278500000001,Los Angeles,90057,Westlake
sg:ca09ead781b24aec8db6ff3cf2145800,33.941879,-118.135365,Downey,90241,Downey
sg:cc41ba9238634a9c9dcd6902dbf523e4,33.816466,-118.309707,Torrance,90501,Torrance
sg:cedb857625ee47cfbff5333c18b89e23,34.208219,-118.486208,Van Nuys,91406,Lake Balboa
sg:cfff4435efca49a7bef2d028e22b60b1,33.998882,-118.480193,Santa Monica,90405,Santa Monica
sg:d0b9cb6a2aa64ab594d5f15383c413cb,34.068321999999995,-118.405901,Beverly Hills,90210,Beverly Hills
sg:d4458a1426a64a82b78fd384dc496e8d,34.188666999999995,-118.366773,North Hollywood,91606,North Hollywood
sg:d745ad2328574eff93c29606501d74b9,34.254639000000005,-118.400618,Pacoima,91331,Pacoima
sg:d85ed1ff961b47369c1d46e6aaf24fbf,34.059734999999996,-118.23903100000001,Los Angeles,90012,Chinatown
sg:da20a7c7880646afa6f483405b506e52,34.065467,-117.71763500000002,Pomona,91767,Pomona
sg:deca1d37f5af4b7796d8b1f84f5bdcc5,33.917590999999994,-118.39911699999999,El Segundo,90245,El Segundo
sg:df16c37d84e34af1b43e2e9df2501324,34.186916,-118.43273,Van Nuys,91401,Valley Glen
sg:df8830851edc48648c94106154975943,34.136899,-118.36271,Studio City,91604,Studio City
sg:dfc1146218ae495aacf2416472501076,34.070965,-118.38341000000001,Los Angeles,90048,West Hollywood
sg:e159989a9c3c4288ba5305e7bf46fc1d,34.191728000000005,-118.438051,Van Nuys,91405,Van Nuys
sg:ece5d62afd3a4e20ae94f278e4081650,34.148466,-118.000616,Monrovia,91016,Monrovia
sg:f4b356ccb21f4bf6950a1aaa48cb1684,34.22892,-118.366028,Sun Valley,91352,Sun Valley
sg:f5982b3f17d843a08f902a4ecfc614a9,34.042082,-118.38689099999999,Los Angeles,90034,Palms
sg:f5a142381b8e446794dd3b9fe3b31104,34.036452000000004,-118.450005,Los Angeles,90025,San Pedro
sg:f5a45e1f61724c03a3d6b71c2cc20bfc,34.059652,-118.381574,Los Angeles,90035,missing
sg:fd03eff487064318beba2692eb5476d9,34.263723999999996,-118.501834,Granada Hills,91344,Granada Hills
sg:01ba472a875d402e95738e6a93cd6e2f,34.019422999999996,-118.455244,Santa Monica,90405,Santa Monica
sg:02b54fb3e3a14f7bab06f145c30bddb6,33.891484999999996,-118.17056200000002,Paramount,90723,Paramount
sg:038ef9a91adc47028e22996dcef58ba5,34.101309,-118.33068200000001,Los Angeles,90028,Hollywood
sg:04988dd78edd4a9fa198dbbb05142cbf,33.989977,-118.226335,Huntington Park,90255,Huntington Park
sg:05b19c49c441491185d055adbc1074ac,34.028971000000006,-117.809327,Diamond Bar,91765,Diamond Bar
sg:066c2c9041824f24b4f74644a8328462,34.379611,-118.52837099999999,Newhall,91321,Santa Clarita
sg:06923e8b46b144be8a4279431ef5ab52,34.083141999999995,-118.373566,West Hollywood,90069,West Hollywood
sg:10651054c39745f5a2d7b36176eccb2e,33.734978000000005,-118.30245500000001,San Pedro,90731,San Pedro
sg:106b7888b35c4444b5dc34cf1fadddbb,33.916496,-118.012417,La Mirada,90638,La Mirada
sg:108505d364d5407392ba1c0209edb583,34.13655,-118.13188000000001,Pasadena,91101,Pasadena
sg:12502c7ba3b042bbaa5ccfcd05bfe68d,33.999704,-118.442273,Los Angeles,90066,Mar Vista
sg:12c7573859db459fb562432a16ecfb9c,33.977074,-118.22561200000001,Huntington Park,90255,Huntington Park
sg:155a6bb78fd043019c282a07edad703b,33.96735,-118.353963,Inglewood,90302,Inglewood
sg:18a7c8451b34410c8384d858c25467fe,33.930376,-117.994905,Whittier,90604,Whittier
sg:1b8f9d3e19d14ce18903597877052bf5,34.055037,-118.012429,El Monte,91732,El Monte
sg:202c5e3f8a494cb7bae2ac353d3e080c,34.220561,-118.53151399999999,Northridge,91325,Northridge
sg:252a5b0f518a4660a70e9eb99d524dee,34.018058,-118.500052,Santa Monica,90401,Santa Monica
sg:2aacb94404d44d84966b09e75b19504d,34.080386,-118.078158,Rosemead,91770,Rosemead
sg:2bdfed2ce2d34f1f8c4395445f3d1d20,34.027457,-118.273706,Los Angeles,90007,University Park
sg:2c26e540a5a6476bacd62cf6beb03d2b,34.008854,-118.49276,Santa Monica,90401,Santa Monica
sg:2c787eb037c24defaea6b3155d8baa0a,34.064972999999995,-118.286707,Los Angeles,90020,Hancock Park
sg:3396d5c917a34ab69c1ba545f953d101,34.278832,-118.45582399999999,Mission Hills,91345,Mission Hills
sg:35e48f934804436e80a4cea7b116caad,34.083969,-118.364378,West Hollywood,90048,West Hollywood
sg:363283567900417d8820bb0fefd83ec7,34.043787,-117.849228,Walnut,91789,Walnut
sg:3686d10a22a246da8197848c239acd63,34.029126,-118.40994199999999,Los Angeles,90034,Palms
sg:385a7b34cc5948b887ab86de25a95323,33.902772999999996,-118.10065300000001,Norwalk,90650,Norwalk
sg:3b664bedf7ab42fd893066d11df5ffc6,34.102885,-118.101556,San Gabriel,91776,San Gabriel
sg:3c5d929e79e34520a551b15c6d84dc1b,34.106403,-117.80646200000001,San Dimas,91773,San Dimas
sg:3d3628851bc04e7e973032f1936b2dee,33.916897,-118.35293,Hawthorne,90250,Hawthorne
sg:3d5a1be4612443cebf5dc43d3ba74746,34.051387,-118.256948,Los Angeles,90071,Downtown Bunker Hill
sg:3e0bd6299822444bb4d692b71db1c2d1,33.962489,-118.366642,Inglewood,90301,Inglewood
sg:44e98ca532b24e83a7e55c0db8ed3ec8,33.798460999999996,-118.21356899999999,Long Beach,90810,Carson
sg:47798809eeec425daec38e4502b5fdd2,34.021927000000005,-118.496622,Santa Monica,90403,Santa Monica
sg:481ebd5899a745cca36d1e3736ca868b,34.051115,-118.27796399999998,Los Angeles,90006,Koreatown
sg:4862b61fc94d428bb5a0b71256a5c4d0,34.064696999999995,-118.383903,Beverly Hills,90211,Beverly Hills
sg:4ad66620c53c4e1c98a79e4ca93210e5,34.245166,-118.275024,Los Angeles,91040,Shadow Hills
sg:4d9cf67663b84d659d3b8b885bd28701,34.161477000000005,-117.81231000000001,Glendora,91741,Glendora
sg:4eb77d7cf3524b3db71cb1e186ce11b3,33.959680999999996,-118.380141,Los Angeles,90045,Westchester
sg:536e950691704b16b5003944afa69591,34.045212,-117.85023100000001,Walnut,91789,Walnut
sg:5389b334372d4c81affe5bdcde2717b6,33.974415,-118.31679199999999,Los Angeles,90047,missing
sg:53d2716a81c04ec29d6a1a2f6b1b139a,33.918756,-118.063354,Santa Fe Springs,90670,Santa Fe Springs
sg:57c36e002ba14b3b97229c6751aa0649,33.861345,-118.166611,Long Beach,90805,missing
sg:5a4d5bf995c845ff9d880052c5379f68,33.85833,-118.064952,Cerritos,90703,Cerritos
sg:603d1c79b2424d618ca97211fb061a76,34.174170000000004,-118.31636100000001,Burbank,91502,Burbank
sg:652a9d1cccf0447bb52c1df2c8be55c5,34.053026,-118.46645,Los Angeles,90049,Brentwood
sg:675af22075574d0aa05e5c122c6dbc76,34.093874,-117.96068899999999,Baldwin Park,91706,Baldwin Park
sg:681e7fb98b45422b91c0d01cdac41c30,34.156569,-118.48339299999999,Encino,91436,Encino
sg:6875d0b6e9f641ae850fcab3672f29c0,34.058244,-118.064723,South El Monte,91733,El Monte
sg:6e4f7e01effd46fdb8e69cbe3b444583,33.953043,-118.28713700000002,Los Angeles,90044,South Los Angeles
sg:6fdad0ad4f804b1dae340d904363b5e5,34.033237,-118.45165700000001,Los Angeles,90064,Rancho Park
sg:712021b200274b69be464a7915d07b00,34.19692,-118.381578,North Hollywood,91605,Hollywood
sg:717341881b9b488e8f3d73e5f5f402d1,34.025014,-118.28390700000001,Los Angeles,90007,University Park
sg:717ad57d97c64224bae82f7bc9613a95,34.141126,-118.02238500000001,Arcadia,91006,Arcadia
sg:74e74fb1cd2f4b60b8ecd0e4e134af4f,34.018555,-118.192495,Los Angeles,90023,Commerce
sg:75843e23b45e4058a36b972f2d7951d4,34.130495,-118.262731,Glendale,91204,Glendale
sg:76ca38e56f7c42148b6799004c21f34b,34.065707,-118.210489,Los Angeles,90031,Lincoln Heights
sg:79b9a59049aa457c81de304eaa3398cc,33.918996,-118.402794,El Segundo,90245,El Segundo
sg:7cffa1d1b95b4c0fbb46dcc476dc4c2d,34.001666,-118.45817199999999,Venice,90291,Venice
sg:7dcd26edc3514a9489d7c945428e7f2e,33.937945,-118.04221499999998,Whittier,90605,Whittier
sg:7f8eb528c97e4657b4bd95eb8beb0490,33.884919000000004,-118.10031799999999,Cerritos,90703,Cerritos
sg:7fc24366fdf94768a5ef7e8a72a90d48,33.997296,-118.234793,Vernon,90058,Vernon
sg:81e1c57ca95e4049bad424957eecdb78,34.206509999999994,-118.231426,Montrose,91020,missing
sg:821634991c9b46f783358d8b68dbe6b2,34.37944,-118.568151,Newhall,91381,Stevenson Ranch
sg:83ce743e86b74aefa68cf40527a8cf70,34.117048,-118.15358400000001,South Pasadena,91030,South Pasadena
sg:83ef8ef85b0541e39227a989f5159704,34.426481,-118.424353,Canyon Country,91387,Santa Clarita
sg:8412487668734b0fa764b28370933d63,34.148049,-118.76738600000002,Agoura Hills,91301,Agoura Hills
sg:84b6fd2596b14eb581a28b7781752f5f,34.169734000000005,-118.361853,North Hollywood,91601,Toluca Terrace
sg:858c47e59c454129ac80351a7e2e124d,33.804433,-118.350798,Torrance,90505,Torrance
sg:85b9f3560b884f1982e53b531bc07685,34.675214000000004,-118.15272900000001,Lancaster,93534,Lancaster
sg:862b76a1e35546cab9c4d55afdd44ebb,34.068104999999996,-117.93216899999999,West Covina,91790,Covina
sg:8831b37473e5418989ed88eff4813d9b,34.274008,-118.43283999999998,Pacoima,91331,Pacoima
sg:8895f28dd8a240609016e16f2c7c9070,34.0565,-117.798275,Pomona,91768,Pomona
sg:8998822425b246a3aed2aa74e72e41ea,33.946628000000004,-118.390809,Los Angeles,90045,Westchester
sg:8c90c0c4d38440c8bd368d295842f736,34.12962,-118.029352,Arcadia,91006,Arcadia
sg:90a2dd6194074ed88221b8508618f1f6,34.186025,-118.44820700000001,Van Nuys,91401,Valley Glen
sg:932043630f084ed7861a11210f975d96,34.030122999999996,-118.462556,Santa Monica,90404,Santa Monica
sg:94021b58a3164d18a027b476cacca57c,34.114606,-117.908197,Azusa,91702,Azusa
