community,risk_score,risk_level
Acton,0.389343993,2
Agoura Hills,0.237330862,1
Agua Dulce,0,0
Alhambra,0.455906602,2
Altadena,0.416255116,2
Arcadia,0.29565308,1
Artesia,0.490300062,2
Atwater Village,0.411101908,2
Azusa,0.700317498,4
Baldwin Hills,0.541695697,3
Baldwin Park,0.761839151,4
Bassett,0.762449641,4
Bel Air Estates,0,0
Bell,0.74055178,4
Beverly Hills,0.406142774,2
Boyle Heights,0.80278678,4
Bradbury,0.454857062,2
Brentwood,0.251002906,1
Burbank,0.388962517,2
Canoga Park,0.628392379,3
Carson,0.572078214,3
Castaic,0.868717246,4
Central,0.688114607,4
Century City,0.222609074,1
Cerritos,0.355159963,1
Chatsworth,0.522783291,3
Chinatown,0.332317163,1
Claremont,0.346150506,1
Commerce,0.785659452,4
Compton,0.789135026,4
Covina,0.717360498,4
Cudahy,0.806516714,4
Culver City,0.318732632,1
Del Sur,0,0
Diamond Bar,0.340724023,1
Downey,0.718854855,4
Downtown,0.440512407,2
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.578899197,3
Eagle Rock,0.450932922,2
East Hollywood,0.578268686,3
East Los Angeles,0.824194154,4
Echo Park,0.421904533,2
El Monte,0.757657077,4
El Segundo,0.361764441,2
El Sereno,0.703109573,4
Encino,0.293854147,1
Florence-Firestone,0.818245065,4
Gardena,0.576005956,3
Glassell Park,0.53070622,3
Glendale,0.463398789,2
Glendora,0.677899033,4
Granada Hills,0.552101672,3
Hacienda Heights,0.573108742,3
Hancock Park,0.379423562,2
Harbor City,0.543210017,3
Harbor Gateway,0.653468034,3
Hawaiian Gardens,0.739049238,4
Hawthorne,0.652637865,3
Hermosa Beach,0.361376803,2
Hi Vista,0,0
Hidden Hills,0.204963243,1
Highland Park,0.575020397,3
Hollywood,0.434492071,2
Huntington Park,0.768631239,4
Hyde Park,0.671257844,3
Inglewood,0.646675785,3
Jefferson Park,0.717617177,4
Koreatown,0.619260783,3
La Habra Heights,0.452734215,2
La Mirada,0.5526,3
La Puente,0.740175656,4
La Verne,0.482261122,2
Ladera Heights,0,0
Lake Balboa,0.609647259,3
Lake Hughes,0,0
Lake Los Angeles,0.599027738,3
Lakewood,0.421232894,2
Lancaster,0.608154165,3
Lawndale,0.578015154,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.717316267,4
Llano,0,0
Lomita,0.344189867,1
Los Feliz,0.306887564,1
Lynwood,0.812709242,4
Malibu,0.293894256,1
Manhattan Beach,0.30786634,1
Mar Vista,0.279002814,1
Marina del Rey,0,0
Marina Peninsula,0.255781963,1
Maywood,0.773737066,4
Melrose,0.533973272,3
Mid-City,0,0
missing,0,0
Mission Hills,0.706939962,4
Monrovia,0.584601785,3
Montebello,0.702585787,4
Monterey Park,0.453176997,2
North Hills,0.749712722,4
North Hollywood,0.587791903,3
Northridge,0.54177289,3
Norwalk,0.723058734,4
Pacific Palisades,0.24650856,1
Pacoima,0.755384259,4
Palmdale,0.656536012,3
Palms,0.40281695,2
Panorama City,0.746805379,4
Paramount,0.750690822,4
Pasadena,0.535668722,3
Pico Rivera,0.759746503,4
Playa Vista,0.37491194,2
Pomona,0.734263245,4
Porter Ranch,0.323975037,1
Rancho Palos Verdes,0.294531487,1
Rancho Park,0.304010754,1
Redondo Beach,0.337665152,1
Reseda,0.631248982,3
Rosemead,0.513379997,2
Rosewood,0,0
Rowland Heights,0.434005842,2
San Dimas,0.474652249,2
San Fernando,0.574051416,3
San Gabriel,0.419296059,2
San Marino,0.272274527,1
San Pedro,0.633356154,3
Santa Catalina Island,0,0
Santa Clarita,0.451475698,2
Santa Fe Springs,0.680946485,4
Santa Monica,0.259812331,1
Shadow Hills,0.494972854,2
Sherman Oaks,0.323321296,1
Sierra Madre,0.275074985,1
Signal Hill,0.600906387,3
South Gate,0.796213637,4
South Los Angeles,0,0
South Park,0.695439224,4
South Pasadena,0.282017529,1
Stevenson Ranch,0.406396582,2
Studio City,0.311391717,1
Sun Valley,0.702825747,4
Sun Village,0,0
Sylmar,0.743813232,4
Tarzana,0.494185565,2
Temple City,0.455461108,2
Toluca Lake,0.333038603,1
Toluca Terrace,0.423781459,2
Torrance,0.342407397,1
Tujunga,0.496231952,2
University Park,0.755491231,4
Valencia,0,0
Valley Glen,0.565778645,3
Valley Village,0.537074299,3
Van Nuys,0.700026707,4
Venice,0.288948382,1
Vernon,0.633086134,3
Walnut,0.330317109,1
Watts,0.837408429,4
West Adams,0.690161328,4
West Hills,0.413454031,2
West Hollywood,0.371327042,2
Westchester,0.25810022,1
Westlake,0.74966147,4
Westlake Village,0.291228559,1
Westwood,0.231238679,1
Whittier,0.643049788,3
Willowbrook,0.807777709,4
Wilmington,0.772002266,4
Wilshire Center,0.508901306,2
Winnetka,0.59496383,3
Woodland Hills,0.327164666,1
