day,community,risk_score,risk_level
2020-08-08,Acton,0.46181418120381795,2
2020-08-04,Acton,0.4179192183986578,1
2020-08-09,Acton,0.4199250190629501,2
2020-08-10,Acton,0.39488493363193716,1
2020-08-07,Acton,0.44869251722008496,2
2020-08-05,Acton,0.44832258498587096,2
2020-08-06,Acton,0.4439416177614592,2
2020-08-08,Agoura Hills,0.3671453200576209,1
2020-08-04,Agoura Hills,0.34968233234259594,1
2020-08-09,Agoura Hills,0.3249060950441928,1
2020-08-10,Agoura Hills,0.31258073948904036,1
2020-08-07,Agoura Hills,0.3691336098105275,1
2020-08-05,Agoura Hills,0.3627873324011538,1
2020-08-06,Agoura Hills,0.3449189105991753,1
2020-08-08,Agua Dulce,0.367011492103692,1
2020-08-04,Agua Dulce,0.3427772132594187,1
2020-08-09,Agua Dulce,0.41327171199935353,1
2020-08-10,Agua Dulce,0.4399437537691272,2
2020-08-07,Agua Dulce,0.3308781620371146,1
2020-08-05,Agua Dulce,0.31588858771691153,1
2020-08-06,Agua Dulce,0.43214668422118174,2
2020-08-08,Alhambra,0.4877622666131188,2
2020-08-04,Alhambra,0.4789672712244178,2
2020-08-09,Alhambra,0.46089414422097813,2
2020-08-10,Alhambra,0.43453083008405097,2
2020-08-07,Alhambra,0.46937914724201657,2
2020-08-05,Alhambra,0.4817233776977763,2
2020-08-06,Alhambra,0.4820100306434991,2
2020-08-08,Altadena,0.5254093068129071,3
2020-08-04,Altadena,0.5007550311080693,3
2020-08-09,Altadena,0.4945520234262866,2
2020-08-10,Altadena,0.45616426349630074,2
2020-08-07,Altadena,0.5144918030251969,3
2020-08-05,Altadena,0.5289321048974616,3
2020-08-06,Altadena,0.48792156159443956,2
2020-08-08,Arcadia,0.4180380590180001,1
2020-08-04,Arcadia,0.41419649389922286,1
2020-08-09,Arcadia,0.37680822770396016,1
2020-08-10,Arcadia,0.35633255403764447,1
2020-08-07,Arcadia,0.4117068578615528,1
2020-08-05,Arcadia,0.41467158386661923,1
2020-08-06,Arcadia,0.41391953170997364,1
2020-08-08,Artesia,0.4785770447691299,2
2020-08-04,Artesia,0.4401049993352492,2
2020-08-09,Artesia,0.46670386592938684,2
2020-08-10,Artesia,0.4515500300084181,2
2020-08-07,Artesia,0.449138966207099,2
2020-08-05,Artesia,0.4468009245636496,2
2020-08-06,Artesia,0.46739816547326973,2
2020-08-08,Atwater Village,0.45859027442871053,2
2020-08-04,Atwater Village,0.4246306168331922,2
2020-08-09,Atwater Village,0.4152377963990921,1
2020-08-10,Atwater Village,0.399599940108171,1
2020-08-07,Atwater Village,0.4397340722439818,2
2020-08-05,Atwater Village,0.4065609365070415,1
2020-08-06,Atwater Village,0.42786576963771056,2
2020-08-08,Azusa,0.6312827567618668,4
2020-08-04,Azusa,0.6187157749962339,4
2020-08-09,Azusa,0.5905352023967182,3
2020-08-10,Azusa,0.5632030526659224,3
2020-08-07,Azusa,0.6221885163298719,4
2020-08-05,Azusa,0.6193426857776454,4
2020-08-06,Azusa,0.6170086016737844,4
2020-08-08,Baldwin Hills,0.4955026999643875,2
2020-08-04,Baldwin Hills,0.47281885249912126,2
2020-08-09,Baldwin Hills,0.47841744034844336,2
2020-08-10,Baldwin Hills,0.4349955855810549,2
2020-08-07,Baldwin Hills,0.5030311650617889,3
2020-08-05,Baldwin Hills,0.4984702859450434,2
2020-08-06,Baldwin Hills,0.4921739807142091,2
2020-08-08,Baldwin Park,0.6592324971727517,4
2020-08-04,Baldwin Park,0.6556159081560151,4
2020-08-09,Baldwin Park,0.604667812825198,4
2020-08-10,Baldwin Park,0.5580060183531509,3
2020-08-07,Baldwin Park,0.6518574033072466,4
2020-08-05,Baldwin Park,0.6399780923176646,4
2020-08-06,Baldwin Park,0.6453819138633817,4
2020-08-08,Bassett,0.6626238781935921,4
2020-08-04,Bassett,0.6307750534710054,4
2020-08-09,Bassett,0.5872846491621643,3
2020-08-10,Bassett,0.5385976594047338,3
2020-08-07,Bassett,0.6284244246874818,4
2020-08-05,Bassett,0.6490858282360435,4
2020-08-06,Bassett,0.6423881842143928,4
2020-08-08,Bel Air Estates,0.44184262154838494,2
2020-08-04,Bel Air Estates,0.44403912844336846,2
2020-08-09,Bel Air Estates,0.4826992720805216,2
2020-08-10,Bel Air Estates,0.34860406393318777,1
2020-08-07,Bel Air Estates,0.4733595044026123,2
2020-08-05,Bel Air Estates,0.4384754329203896,2
2020-08-06,Bel Air Estates,0.41823999063400535,2
2020-08-08,Bell,0.7002037008635756,4
2020-08-04,Bell,0.6644249395510234,4
2020-08-09,Bell,0.6443678733768133,4
2020-08-10,Bell,0.6251558796219757,4
2020-08-07,Bell,0.6653863714587732,4
2020-08-05,Bell,0.6684511007331569,4
2020-08-06,Bell,0.6602021222591442,4
2020-08-08,Beverly Hills,0.34678913033138276,1
2020-08-04,Beverly Hills,0.33749093667833263,1
2020-08-09,Beverly Hills,0.2868306525327648,1
2020-08-10,Beverly Hills,0.2619303610888184,1
2020-08-07,Beverly Hills,0.3332874467940912,1
2020-08-05,Beverly Hills,0.34123704335467964,1
2020-08-06,Beverly Hills,0.33523331982163723,1
2020-08-08,Boyle Heights,0.7129216016225052,4
2020-08-04,Boyle Heights,0.6937775252591775,4
2020-08-09,Boyle Heights,0.6832503268239946,4
2020-08-10,Boyle Heights,0.6206642769200394,4
2020-08-07,Boyle Heights,0.709856274608257,4
2020-08-05,Boyle Heights,0.6992779138823764,4
2020-08-06,Boyle Heights,0.692220378224435,4
2020-08-08,Bradbury,0.14058806765795517,1
2020-08-04,Bradbury,0.14058806765795517,1
2020-08-09,Bradbury,0.6362316228856889,4
2020-08-10,Bradbury,0.14058806765795517,1
2020-08-07,Bradbury,0.9068906844584513,4
2020-08-05,Bradbury,0.7264890282131662,4
2020-08-06,Bradbury,0.14058806765795517,1
2020-08-08,Brentwood,0.35982687720027,1
2020-08-04,Brentwood,0.32378395022352574,1
2020-08-09,Brentwood,0.30394581600095155,1
2020-08-10,Brentwood,0.3127183488229873,1
2020-08-07,Brentwood,0.32228421434119386,1
2020-08-05,Brentwood,0.349194544524201,1
2020-08-06,Brentwood,0.32104970281591744,1
2020-08-08,Burbank,0.4578241529080696,2
2020-08-04,Burbank,0.4309799465368804,2
2020-08-09,Burbank,0.4070429363503946,1
2020-08-10,Burbank,0.37955722688467775,1
2020-08-07,Burbank,0.43401857466353194,2
2020-08-05,Burbank,0.43992538159399025,2
2020-08-06,Burbank,0.43940539869698,2
2020-08-08,Canoga Park,0.5250393262997424,3
2020-08-04,Canoga Park,0.5406025620261501,3
2020-08-09,Canoga Park,0.4958004281365991,2
2020-08-10,Canoga Park,0.4477071585877256,2
2020-08-07,Canoga Park,0.5214685055429711,3
2020-08-05,Canoga Park,0.5065031831291318,3
2020-08-06,Canoga Park,0.5245351803406516,3
2020-08-08,Carson,0.5721023063294838,3
2020-08-04,Carson,0.5592154933824283,3
2020-08-09,Carson,0.5186251116508932,3
2020-08-10,Carson,0.5055298545009662,3
2020-08-07,Carson,0.5435210470043276,3
2020-08-05,Carson,0.5482709316400249,3
2020-08-06,Carson,0.5466699352561359,3
2020-08-08,Castaic,0.7837186289521291,4
2020-08-04,Castaic,0.7938735091391542,4
2020-08-09,Castaic,0.7755217178331065,4
2020-08-10,Castaic,0.7450608774985957,4
2020-08-07,Castaic,0.778230853179987,4
2020-08-05,Castaic,0.7779273677968659,4
2020-08-06,Castaic,0.7973504678327514,4
2020-08-08,Central,0.5385811589209559,3
2020-08-04,Central,0.4980574463299658,2
2020-08-09,Central,0.5069504434584242,3
2020-08-10,Central,0.42371351146963077,2
2020-08-07,Central,0.4910335607597271,2
2020-08-05,Central,0.49559816431818193,2
2020-08-06,Central,0.49333696899536256,2
2020-08-08,Century City,0.28706602875685777,1
2020-08-04,Century City,0.2615692252281916,1
2020-08-09,Century City,0.23798971339470484,1
2020-08-10,Century City,0.22666585934425237,1
2020-08-07,Century City,0.25455022717202047,1
2020-08-05,Century City,0.2560402186676128,1
2020-08-06,Century City,0.2635292703998823,1
2020-08-08,Cerritos,0.4598767434583611,2
2020-08-04,Cerritos,0.46412022102272454,2
2020-08-09,Cerritos,0.42519595556260026,2
2020-08-10,Cerritos,0.4208785333004889,2
2020-08-07,Cerritos,0.45334754440317204,2
2020-08-05,Cerritos,0.46306305037621276,2
2020-08-06,Cerritos,0.4630421320885036,2
2020-08-08,Chatsworth,0.5010736344276377,3
2020-08-04,Chatsworth,0.493358633419388,2
2020-08-09,Chatsworth,0.3945203354386342,1
2020-08-10,Chatsworth,0.38079552824565394,1
2020-08-07,Chatsworth,0.500706432721482,3
2020-08-05,Chatsworth,0.4943770065197198,2
2020-08-06,Chatsworth,0.5032394803774353,3
