community,risk_score,risk_level
Acton,0.36849360047803387,2
Agoura Hills,0.22040023093741098,1
Agua Dulce,0,0
Alhambra,0.4381654372016615,2
Altadena,0.41840951823318673,2
Arcadia,0.2844225285840439,1
Artesia,0.49356876304908015,2
Atwater Village,0.4100663031620586,2
Azusa,0.7332815382228569,4
Baldwin Hills,0.5661547441942942,3
Baldwin Park,0.7679673660958478,4
Bassett,0.7680127606182833,4
Bel Air Estates,0,0
Bell,0.7544611611394663,4
Beverly Hills,0.38281785533375334,2
Boyle Heights,0.803780320150179,4
Bradbury,0.42763168862965706,2
Brentwood,0.2353986897325002,1
Burbank,0.38707147491298227,2
Canoga Park,0.6296144553063366,3
Carson,0.5759412846948498,3
Castaic,0.88664354271536,4
Central,0.7076632479561461,4
Century City,0.212831155029153,1
Cerritos,0.35004623922416994,1
Chatsworth,0.5154412778019014,3
Chinatown,0.3316366582441957,1
Claremont,0.3434304029029074,1
Commerce,0.8142230188732676,4
Compton,0.8056027479561501,4
Covina,0.7263599921177513,4
Cudahy,0.8183764864046759,4
Culver City,0.310315161890563,1
Del Sur,0,0
Diamond Bar,0.33187039457602224,1
Downey,0.7299373177807847,4
Downtown,0.4463020428806563,2
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.5915914224208807,3
Eagle Rock,0.44404360940997184,2
East Hollywood,0.5747852272232882,3
East Los Angeles,0.8217981938752785,4
Echo Park,0.4250825027154654,2
El Monte,0.7693986925460017,4
El Segundo,0.35762726311797555,2
El Sereno,0.6965142230947039,4
Encino,0.2996427780532035,1
Florence-Firestone,0.8243576672690749,4
Gardena,0.5945392491279512,3
Glassell Park,0.5385711695749116,3
Glendale,0.4616206839620348,2
Glendora,0.6772412537040682,3
Granada Hills,0.5606130367195317,3
Hacienda Heights,0.5821282027985057,3
Hancock Park,0.37339319434604074,2
Harbor City,0.582437215912966,3
Harbor Gateway,0.6773907085369082,3
Hawaiian Gardens,0.7327498710275205,4
Hawthorne,0.6521564827374099,3
Hermosa Beach,0.37368321133054755,2
Hi Vista,0,0
Hidden Hills,0.19385557762400285,1
Highland Park,0.5887100887913991,3
Hollywood,0.4361101967242797,2
Huntington Park,0.7858988347817333,4
Hyde Park,0.6955338959846714,4
Inglewood,0.6641235815440222,3
Jefferson Park,0.7303570067615683,4
Koreatown,0.6237318970971906,3
La Habra Heights,0.4744255321460865,2
La Mirada,0.5686938948484702,3
La Puente,0.7490694444348781,4
La Verne,0.4697983462276475,2
Ladera Heights,0,0
Lake Balboa,0.600538808758839,3
Lake Hughes,0,0
Lake Los Angeles,0.6146059641844082,3
Lakewood,0.41757240493763204,2
Lancaster,0.6050853077607142,3
Lawndale,0.5633952078922627,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.6973727770063805,4
Llano,0,0
Lomita,0.33724324986733223,1
Los Feliz,0.3051795954226815,1
Lynwood,0.8232442132355727,4
Malibu,0.30009002722251726,1
Manhattan Beach,0.3058399253257345,1
Mar Vista,0.26227871475117964,1
Marina del Rey,0,0
Marina Peninsula,0.24725210118650515,1
Maywood,0.7838287540155776,4
Melrose,0.5375944670324472,3
Mid-City,0,0
missing,0,0
Mission Hills,0.6995509814414579,4
Monrovia,0.5974931082427527,3
Montebello,0.7071954146626066,4
Monterey Park,0.47069698317337483,2
North Hills,0.7547328646895809,4
North Hollywood,0.6115323822752606,3
Northridge,0.5512067368692634,3
Norwalk,0.7297632576597656,4
Pacific Palisades,0.2315430506955087,1
Pacoima,0.7618029409056942,4
Palmdale,0.6717371439818052,3
Palms,0.390713793013109,2
Panorama City,0.7582234100516241,4
Paramount,0.7528801344167548,4
Pasadena,0.534132265298399,3
Pico Rivera,0.7582209028647111,4
Playa Vista,0.3730808469896495,2
Pomona,0.7341904373807325,4
Porter Ranch,0.31747286491516796,1
Rancho Palos Verdes,0.2904963504742611,1
Rancho Park,0.30328845688877176,1
Redondo Beach,0.3246655145950714,1
Reseda,0.6199151716284278,3
Rosemead,0.49249194638835353,2
Rosewood,0,0
Rowland Heights,0.4387121841387005,2
San Dimas,0.48804344014784407,2
San Fernando,0.5713418460471932,3
San Gabriel,0.41302252674262785,2
San Marino,0.25495073170084426,1
San Pedro,0.640896920021054,3
Santa Catalina Island,0,0
Santa Clarita,0.4618550554652223,2
Santa Fe Springs,0.6945422930170919,4
Santa Monica,0.24809707714540447,1
Shadow Hills,0.511837259917483,2
Sherman Oaks,0.3049238055943483,1
Sierra Madre,0.2880211103624974,1
Signal Hill,0.6231947795917868,3
South Gate,0.8101640762241692,4
South Los Angeles,0,0
South Park,0.7208469377273692,4
South Pasadena,0.2743141412981434,1
Stevenson Ranch,0.40454286940367257,2
Studio City,0.30572941387151875,1
Sun Valley,0.7224059543886105,4
Sun Village,0,0
Sylmar,0.7535894836208037,4
Tarzana,0.4753402376204565,2
Temple City,0.45684843339505404,2
Toluca Lake,0.3099843177688145,1
Toluca Terrace,0.4028297695541771,2
Torrance,0.337312620575369,1
Tujunga,0.4985216243959483,2
