community,risk_score,risk_level
Acton,0.35705114435825863,2
Agoura Hills,0.2182350948324916,1
Agua Dulce,0,0
Alhambra,0.4513397058139309,2
Altadena,0.43306601774864173,2
Arcadia,0.2868946728173687,1
Artesia,0.5078919888335829,2
Atwater Village,0.4267229904872996,2
Azusa,0.7235646735451877,4
Baldwin Hills,0.5584881796114933,3
Baldwin Park,0.7682707206110712,4
Bassett,0.7528482545255679,4
Bel Air Estates,0,0
Bell,0.7737672846577682,4
Beverly Hills,0.3723124821637243,2
Boyle Heights,0.814544345200451,4
Bradbury,0.5032664639069433,2
Brentwood,0.2486035299004935,1
Burbank,0.3958754136675452,2
Canoga Park,0.6132520499327951,3
Carson,0.5982080286600729,3
Castaic,0.8694391340806855,4
Central,0.7128235890087689,4
Century City,0.20887873634805446,1
Cerritos,0.34983531015316777,1
Chatsworth,0.5074945129951731,2
Chinatown,0.3370218805679372,1
Claremont,0.3415757935935881,1
Commerce,0.8153941184204374,4
Compton,0.7969022408392568,4
Covina,0.7279828322389875,4
Cudahy,0.8114342070454991,4
Culver City,0.31728225484644607,1
Del Sur,0,0
Diamond Bar,0.32990990998793357,1
Downey,0.7392960767997355,4
Downtown,0.4472116984862328,2
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.6110959758790685,3
Eagle Rock,0.4421422853067968,2
East Hollywood,0.5574279067263578,3
East Los Angeles,0.8461958377273444,4
Echo Park,0.43271185357568964,2
El Monte,0.7652093305246286,4
El Segundo,0.34672379929988234,1
El Sereno,0.7168433600901881,4
Encino,0.29189313163697855,1
Florence-Firestone,0.8359652886909532,4
Gardena,0.6003643548795699,3
Glassell Park,0.5417474726533162,3
Glendale,0.4656083040777478,2
Glendora,0.6855388937812342,3
Granada Hills,0.5793262454818517,3
Hacienda Heights,0.5971675123039991,3
Hancock Park,0.3845826369336475,2
Harbor City,0.5607545674033311,3
Harbor Gateway,0.6895335193955376,4
Hawaiian Gardens,0.7149272505841912,4
Hawthorne,0.649074646622011,3
Hermosa Beach,0.40035904893850033,2
Hi Vista,0,0
Hidden Hills,0.18849719585894573,1
Highland Park,0.617836229314843,3
Hollywood,0.4446485802452964,2
Huntington Park,0.7762589804374272,4
Hyde Park,0.7098778740990227,4
Inglewood,0.65379614664665,3
Jefferson Park,0.7355149156213109,4
