community,risk_score,risk_level
Acton,0.36817394139965487,2
Agoura Hills,0.22285553142961134,1
Agua Dulce,0,0
Alhambra,0.43809743763726383,2
Altadena,0.4239178463362418,2
Arcadia,0.28405012698481497,1
Artesia,0.4941405174133367,2
Atwater Village,0.4117426904217756,2
Azusa,0.7325170965439383,4
Baldwin Hills,0.5648212240800952,3
Baldwin Park,0.7673160920654806,4
Bassett,0.7679022729122443,4
Bel Air Estates,0,0
Bell,0.7531705327827964,4
Beverly Hills,0.38207207193323584,2
Boyle Heights,0.8032382418864049,4
Bradbury,0.4277460089122187,2
Brentwood,0.23911406673098898,1
Burbank,0.3869615243556157,2
Canoga Park,0.6294339796398752,3
Carson,0.58468107120746,3
Castaic,0.8866071908711243,4
Central,0.707504462568732,4
Century City,0.21008346571463277,1
Cerritos,0.349241170670887,1
Chatsworth,0.5153869466523845,3
Chinatown,0.33229158857357877,1
Claremont,0.34316716118484586,1
Commerce,0.8140951572246062,4
Compton,0.8062024883891258,4
Covina,0.726396604203171,4
Cudahy,0.8180213966689878,4
Culver City,0.30954747082787937,1
Del Sur,0,0
Diamond Bar,0.3299841423911083,1
Downey,0.7298696173954068,4
Downtown,0.44705637794951464,2
Downtown Bunker Hill,0,0
Downtown Historic Core,0,0
Duarte,0.5910993397080176,3
Eagle Rock,0.44378100947930316,2
East Hollywood,0.5626475057534209,3
East Los Angeles,0.820559329258814,4
Echo Park,0.4247344126633357,2
El Monte,0.7679113988387741,4
El Segundo,0.35964973545761736,2
El Sereno,0.6949190100535084,4
Encino,0.3000806986340396,1
Florence-Firestone,0.8242570677440036,4
Gardena,0.596905122437041,3
Glassell Park,0.5369252014822368,3
Glendale,0.46475574499756755,2
Glendora,0.6726738993387167,3
Granada Hills,0.5589178201530955,3
Hacienda Heights,0.5823797783635791,3
Hancock Park,0.37122030002996803,2
Harbor City,0.5797532087280307,3
Harbor Gateway,0.6790141996842841,3
Hawaiian Gardens,0.7335801417222847,4
Hawthorne,0.6497911072467953,3
Hermosa Beach,0.3699912433839121,2
Hi Vista,0,0
Hidden Hills,0.193507214194422,1
Highland Park,0.5886283921302129,3
Hollywood,0.43610652877014505,2
Huntington Park,0.7858216211887834,4
Hyde Park,0.6973708340629817,4
Inglewood,0.6643228673768441,3
Jefferson Park,0.7301998329124388,4
Koreatown,0.6074057399982143,3
La Habra Heights,0.4748928384561507,2
La Mirada,0.5634878483096873,3
La Puente,0.7537634388882034,4
La Verne,0.47004349972247406,2
Ladera Heights,0,0
Lake Balboa,0.6007293899259148,3
Lake Hughes,0,0
Lake Los Angeles,0.6079678855272904,3
Lakewood,0.41226084211224956,2
Lancaster,0.6069892159226487,3
Lawndale,0.5684402828289666,3
Lennox,0,0
Leona Valley,0,0
Lincoln Heights,0.7136303236814582,4
Llano,0,0
Lomita,0.336302980275258,1
Los Feliz,0.30489809773811755,1
Lynwood,0.824261782833999,4
Malibu,0.29982995992098743,1
Manhattan Beach,0.3052836442223287,1
Mar Vista,0.2579174538012023,1
Marina del Rey,0,0
Marina Peninsula,0.24694703860308698,1
Maywood,0.7838367688614746,4
Melrose,0.5374705313016888,3
Mid-City,0,0
missing,0,0
Mission Hills,0.700052561681197,4
Monrovia,0.5958596962791463,3
Montebello,0.7084686996913323,4
Monterey Park,0.470499942178283,2
North Hills,0.7563725963272813,4
North Hollywood,0.6101168635867719,3
Northridge,0.553602070852572,3
Norwalk,0.7296974144725,4
Pacific Palisades,0.23131224497351874,1
Pacoima,0.7624946771671598,4
Palmdale,0.6748871441008888,3
Palms,0.39044001266034417,2
Panorama City,0.7598289989470635,4
Paramount,0.7527770523992586,4
Pasadena,0.5348824963359753,3
Pico Rivera,0.7567741900644969,4
Playa Vista,0.38264381970414457,2
Pomona,0.7341380094922275,4
Porter Ranch,0.3190273199151573,1
Rancho Palos Verdes,0.2937595495525607,1
Rancho Park,0.3068885368865065,1
Redondo Beach,0.3217943008716233,1
Reseda,0.6206806623053588,3
Rosemead,0.4929469444952057,2
Rosewood,0,0
Rowland Heights,0.4261672623597494,2
San Dimas,0.4782402640256082,2
San Fernando,0.5716397061926082,3
San Gabriel,0.4138525952193418,2
San Marino,0.2542752156462731,1
San Pedro,0.6408994581170165,3
Santa Catalina Island,0,0
Santa Clarita,0.4627169816227297,2
Santa Fe Springs,0.6958406546027699,4
Santa Monica,0.24812474857238137,1
Shadow Hills,0.5048824039253139,2
Sherman Oaks,0.30401408894067844,1
Sierra Madre,0.2869380692380922,1
Signal Hill,0.6324963247297012,3
South Gate,0.810002066451186,4
South Los Angeles,0,0
South Park,0.7208690747182465,4
South Pasadena,0.27005243165833753,1
Stevenson Ranch,0.4063152612630669,2
Studio City,0.3049278506323851,1
Sun Valley,0.7270214990847146,4
Sun Village,0,0
Sylmar,0.7525290890564201,4
Tarzana,0.4748730458266437,2
Temple City,0.45678809016533695,2
Toluca Lake,0.3087700030723576,1
Toluca Terrace,0.41175157745018176,2
Torrance,0.3360235050533862,1
Tujunga,0.5093081003065213,2
University Park,0.7559128953143918,4
Valencia,0,0
Valley Glen,0.5908936675494733,3
Valley Village,0.5229168939179228,3
Van Nuys,0.7192900657015009,4
Venice,0.2883322812849122,1
Vernon,0.6145836474653207,3
Walnut,0.3214246191307378,1
Watts,0.839457483369718,4
West Adams,0.6980511328262896,4
West Hills,0.41504992903946153,2
West Hollywood,0.35802002230191043,2
Westchester,0.24708269834252164,1
Westlake,0.7399997813071942,4
Westlake Village,0.2949814319788071,1
Westwood,0.21924978439889942,1
Whittier,0.651064079382023,3
Willowbrook,0.8033248977252853,4
Wilmington,0.7748593888395128,4
Wilshire Center,0.4945658427821362,2
Winnetka,0.6103845686671923,3
Woodland Hills,0.3261537400727257,1
